id_registro_meteo,aeroporto,data_hora,temperatura_c,pressao_hpa,visibilidade_m,vento_kmh,rajada_kmh,precipitacao_mm,cobertura_nuvens_pct,condicao_meteorologica
MET2025-0101,SBGR,2025-07-01 00:00,17.6,1015.6,10226,13,36,2.6,75,Chuva
MET2025-0102,SBGR,2025-07-01 03:00,16.6,1016.1,10226,13,28,2.6,49,Chuva
MET2025-0103,SBGR,2025-07-01 06:00,15.6,1016.6,10226,13,23,2.6,52,Chuva
MET2025-0104,SBGR,2025-07-01 09:00,16.6,1016.1,10226,13,23,2.6,62,Chuva
MET2025-0105,SBGR,2025-07-01 12:00,17.6,1015.6,10226,13,32,2.6,66,Chuva
MET2025-0101,SBGL,2025-07-01 00:00,21.0,1014.5,10257,18,38,2.3,52,Chuva
MET2025-0102,SBGL,2025-07-01 03:00,20.0,1015.0,10257,18,32,2.3,67,Chuva
MET2025-0103,SBGL,2025-07-01 06:00,19.0,1015.5,10257,18,30,2.3,79,Chuva
MET2025-0104,SBGL,2025-07-01 09:00,20.0,1015.0,10257,18,37,2.3,51,Chuva
MET2025-0105,SBGL,2025-07-01 12:00,21.0,1014.5,10257,18,42,2.3,53,Chuva
MET2025-0101,SBBR,2025-07-01 00:00,22.6,1012.7,9623,17,41,1.6,45,Chuva
MET2025-0102,SBBR,2025-07-01 03:00,21.7,1013.1,9623,17,31,1.6,48,Chuva
MET2025-0103,SBBR,2025-07-01 06:00,20.7,1013.6,9623,17,33,1.6,45,Chuva
MET2025-0104,SBBR,2025-07-01 09:00,21.7,1013.1,9623,17,41,1.6,43,Chuva
MET2025-0105,SBBR,2025-07-01 12:00,22.6,1012.7,9623,17,34,1.6,52,Chuva
MET2025-0101,SBCF,2025-07-01 00:00,16.7,1014.8,10111,14,38,2.1,57,Chuva
MET2025-0102,SBCF,2025-07-01 03:00,15.7,1015.3,10111,14,33,2.1,53,Chuva
MET2025-0103,SBCF,2025-07-01 06:00,14.8,1015.8,10111,14,36,2.1,49,Chuva
MET2025-0104,SBCF,2025-07-01 09:00,15.7,1015.3,10111,14,33,2.1,55,Chuva
MET2025-0105,SBCF,2025-07-01 12:00,16.7,1014.8,10111,14,35,2.1,53,Chuva
MET2025-0101,SBPA,2025-07-01 00:00,15.7,1013.5,6273,23,33,3.3,65,Chuva
MET2025-0102,SBPA,2025-07-01 03:00,14.7,1014.0,6273,23,35,3.3,80,Chuva
MET2025-0103,SBPA,2025-07-01 06:00,13.8,1014.5,6273,23,48,3.3,74,Chuva
MET2025-0104,SBPA,2025-07-01 09:00,14.7,1014.0,6273,23,38,3.3,75,Chuva
MET2025-0105,SBPA,2025-07-01 12:00,15.7,1013.5,6273,23,35,3.3,70,Chuva
MET2025-0101,SBCT,2025-07-01 00:00,14.1,1017.9,6665,15,39,2.4,59,Chuva
