id_voo,codigo_voo,data,horario_previsto,horario_realizado,aeroporto_origem,aeroporto_destino,id_rota,matricula_aeronave,atraso_minutos,status,motivo_atraso,cancelado,desviado
2023-000001,XYZ230001,2023-07-01,00:00,2023-07-01 00:13,SBGR,SBGL,ROT001,PR-ADH,13,Realizado,Meteorologia,0,0
2023-000002,XYZ230002,2023-07-01,00:00,2023-07-01 00:10,SBGR,SBBR,ROT002,PR-BKR,10,Realizado,Meteorologia,0,0
2023-000003,XYZ230003,2023-07-01,00:00,2023-07-01 00:42,SBGR,SBCF,ROT003,PR-CEV,42,Realizado,Meteorologia,0,0
2023-000004,XYZ230004,2023-07-01,00:00,2023-07-01 00:40,SBGR,SBPA,ROT004,PR-DQF,40,Realizado,Meteorologia,0,0
2023-000005,XYZ230005,2023-07-01,00:00,2023-07-01 00:24,SBGL,SBBR,ROT010,PR-EHX,24,Realizado,Meteorologia,0,0
2023-000006,XYZ230006,2023-07-01,00:00,2023-07-01 00:31,SBGL,SBCF,ROT011,PR-FKA,31,Realizado,Meteorologia,0,0
2023-000007,XYZ230007,2023-07-01,00:00,2023-07-01 00:33,SBGL,SBPA,ROT012,PR-GMB,33,Realizado,Meteorologia,0,0
2023-000008,XYZ230008,2023-07-01,00:00,2023-07-01 00:16,SBGL,SBCT,ROT013,PR-HNC,16,Realizado,Meteorologia,0,0
2023-000009,XYZ230009,2023-07-01,03:00,2023-07-01 03:25,SBGR,SBGL,ROT001,PR-JRD,25,Realizado,Meteorologia,0,0
2023-000010,XYZ230010,2023-07-01,03:00,2023-07-01 03:40,SBGR,SBBR,ROT002,PR-KSE,40,Realizado,Meteorologia,0,0
2023-000011,XYZ230011,2023-07-01,03:00,2023-07-01 03:44,SBGR,SBCF,ROT003,PR-LTF,44,Realizado,Meteorologia,0,0
2023-000012,XYZ230012,2023-07-01,03:00,2023-07-01 03:39,SBGR,SBPA,ROT004,PR-MUG,39,Realizado,Meteorologia,0,0
2023-000013,XYZ230013,2023-07-01,03:00,2023-07-01 03:28,SBGL,SBBR,ROT010,PR-NVH,28,Realizado,Meteorologia,0,0
2023-000014,XYZ230014,2023-07-01,03:00,2023-07-01 03:48,SBGL,SBCF,ROT011,PR-PWL,48,Realizado,Meteorologia,0,0
2023-000015,XYZ230015,2023-07-01,03:00,2023-07-01 03:39,SBGL,SBPA,ROT012,PR-QXA,39,Realizado,Meteorologia,0,0
2023-000016,XYZ230016,2023-07-01,03:00,2023-07-01 03:34,SBGL,SBCT,ROT013,PR-RYB,34,Realizado,Meteorologia,0,0
2023-000017,XYZ230017,2023-07-01,06:00,2023-07-01 06:39,SBGR,SBGL,ROT001,PR-SCD,39,Realizado,Meteorologia,0,0
2023-000018,XYZ230018,2023-07-01,06:00,2023-07-01 06:46,SBGR,SBBR,ROT002,PR-TQJ,46,Realizado,Meteorologia,0,0
2023-000019,XYZ230019,2023-07-01,06:00,2023-07-01 06:17,SBGR,SBCF,ROT003,PR-UKM,17,Realizado,Meteorologia,0,0
2023-000020,XYZ230020,2023-07-01,06:00,2023-07-01 06:41,SBGR,SBPA,ROT004,PR-VPN,41,Desviado,Meteorologia,0,1
2023-000021,XYZ230021,2023-07-01,06:00,2023-07-01 06:41,SBGL,SBBR,ROT010,PR-WAR,41,Realizado,Meteorologia,0,0
2023-000022,XYZ230022,2023-07-01,06:00,,SBGL,SBCF,ROT011,PR-XBE,0,Cancelado,Meteorologia,1,0
2023-000023,XYZ230023,2023-07-01,06:00,2023-07-01 06:33,SBGL,SBPA,ROT012,PR-YCF,33,Realizado,Meteorologia,0,0
2023-000024,XYZ230024,2023-07-01,06:00,2023-07-01 06:33,SBGL,SBCT,ROT013,PR-ZDG,33,Desviado,Meteorologia,0,1
2023-000025,XYZ230025,2023-07-01,09:00,2023-07-01 09:47,SBGR,SBGL,ROT001,PR-ADH,47,Realizado,Meteorologia,0,0
2023-000026,XYZ230026,2023-07-01,09:00,2023-07-01 09:48,SBGR,SBBR,ROT002,PR-BKR,48,Realizado,Meteorologia,0,0
2023-000027,XYZ230027,2023-07-01,09:00,2023-07-01 09:46,SBGR,SBCF,ROT003,PR-CEV,46,Realizado,Meteorologia,0,0
2023-000028,XYZ230028,2023-07-01,09:00,2023-07-01 09:41,SBGR,SBPA,ROT004,PR-DQF,41,Desviado,Meteorologia,0,1
2023-000029,XYZ230029,2023-07-01,09:00,2023-07-01 09:40,SBGL,SBBR,ROT010,PR-EHX,40,Desviado,Meteorologia,0,1
2023-000030,XYZ230030,2023-07-01,09:00,2023-07-01 09:23,SBGL,SBCF,ROT011,PR-FKA,23,Realizado,Meteorologia,0,0
2023-000031,XYZ230031,2023-07-01,09:00,2023-07-01 09:15,SBGL,SBPA,ROT012,PR-GMB,15,Realizado,Meteorologia,0,0
2023-000032,XYZ230032,2023-07-01,09:00,2023-07-01 09:45,SBGL,SBCT,ROT013,PR-HNC,45,Realizado,Meteorologia,0,0
2023-000033,XYZ230033,2023-07-01,12:00,2023-07-01 12:25,SBGR,SBGL,ROT001,PR-JRD,25,Realizado,Meteorologia,0,0
2023-000034,XYZ230034,2023-07-01,12:00,2023-07-01 12:28,SBGR,SBBR,ROT002,PR-KSE,28,Realizado,Meteorologia,0,0
2023-000035,XYZ230035,2023-07-01,12:00,2023-07-01 12:42,SBGR,SBCF,ROT003,PR-LTF,42,Realizado,Meteorologia,0,0
2023-000036,XYZ230036,2023-07-01,12:00,2023-07-01 12:41,SBGR,SBPA,ROT004,PR-MUG,41,Realizado,Meteorologia,0,0
2023-000037,XYZ230037,2023-07-01,12:00,2023-07-01 12:34,SBGL,SBBR,ROT010,PR-NVH,34,Realizado,Meteorologia,0,0
2023-000038,XYZ230038,2023-07-01,12:00,2023-07-01 12:20,SBGL,SBCF,ROT011,PR-PWL,20,Realizado,Meteorologia,0,0
2023-000039,XYZ230039,2023-07-01,12:00,2023-07-01 12:33,SBGL,SBPA,ROT012,PR-QXA,33,Realizado,Meteorologia,0,0
