id_registro_meteo,aeroporto,data_hora,temperatura_c,pressao_hpa,visibilidade_m,vento_kmh,rajada_kmh,precipitacao_mm,cobertura_nuvens_pct,condicao_meteorologica
MET2023-0101,SBGR,2023-07-01 00:00,18.2,1014.5,8980,20,31,2.1,48,Chuva
MET2023-0102,SBGR,2023-07-01 03:00,17.2,1015.0,8980,20,43,2.1,67,Chuva
MET2023-0103,SBGR,2023-07-01 06:00,16.3,1015.5,8980,20,31,2.1,58,Chuva
MET2023-0104,SBGR,2023-07-01 09:00,17.2,1015.0,8980,20,45,2.1,46,Chuva
MET2023-0105,SBGR,2023-07-01 12:00,18.2,1014.5,8980,20,33,2.1,56,Chuva
MET2023-0101,SBGL,2023-07-01 00:00,18.5,1012.0,6475,21,33,2.4,40,Chuva
MET2023-0102,SBGL,2023-07-01 03:00,17.6,1012.4,6475,21,36,2.4,48,Chuva
MET2023-0103,SBGL,2023-07-01 06:00,16.6,1012.9,6475,21,43,2.4,34,Chuva
MET2023-0104,SBGL,2023-07-01 09:00,17.6,1012.4,6475,21,34,2.4,81,Chuva
MET2023-0105,SBGL,2023-07-01 12:00,18.5,1012.0,6475,21,32,2.4,59,Chuva
MET2023-0101,SBBR,2023-07-01 00:00,19.6,1014.3,11199,9,21,0.2,42,Ceu aberto
MET2023-0102,SBBR,2023-07-01 03:00,18.6,1014.8,11199,9,27,0.2,31,Ceu aberto
MET2023-0103,SBBR,2023-07-01 06:00,17.7,1015.3,11199,9,24,0.2,11,Ceu aberto
MET2023-0104,SBBR,2023-07-01 09:00,18.6,1014.8,11199,9,27,0.2,10,Ceu aberto
MET2023-0105,SBBR,2023-07-01 12:00,19.6,1014.3,11199,9,34,0.2,25,Ceu aberto
MET2023-0101,SBCF,2023-07-01 00:00,18.8,1015.8,7860,10,25,2.0,45,Chuva
MET2023-0102,SBCF,2023-07-01 03:00,17.8,1016.3,7860,10,24,2.0,39,Chuva
MET2023-0103,SBCF,2023-07-01 06:00,16.8,1016.7,7860,10,32,2.0,51,Chuva
MET2023-0104,SBCF,2023-07-01 09:00,17.8,1016.3,7860,10,21,2.0,56,Chuva
MET2023-0105,SBCF,2023-07-01 12:00,18.8,1015.8,7860,10,31,2.0,59,Chuva
MET2023-0101,SBPA,2023-07-01 00:00,12.3,1016.9,6441,28,42,3.6,72,Chuva
MET2023-0102,SBPA,2023-07-01 03:00,11.4,1017.4,6441,28,43,3.6,82,Chuva
MET2023-0103,SBPA,2023-07-01 06:00,10.4,1017.9,6441,28,51,3.6,87,Chuva
MET2023-0104,SBPA,2023-07-01 09:00,11.4,1017.4,6441,28,45,3.6,77,Chuva
MET2023-0105,SBPA,2023-07-01 12:00,12.3,1016.9,6441,28,49,3.6,67,Chuva
MET2023-0101,SBCT,2023-07-01 00:00,14.9,1016.1,9390,20,32,3.1,65,Chuva
MET2023-0102,SBCT,2023-07-01 03:00,13.9,1016.6,9390,20,30,3.1,52,Chuva
MET2023-0103,SBCT,2023-07-01 06:00,12.9,1017.1,9390,20,38,3.1,76,Chuva
MET2023-0104,SBCT,2023-07-01 09:00,13.9,1016.6,9390,20,44,3.1,61,Chuva
MET2023-0105,SBCT,2023-07-01 12:00,14.9,1016.1,9390,20,41,3.1,51,Chuva
MET2023-0101,SBRF,2023-07-01 00:00,24.0,1011.5,12863,17,40,0.1,26,Ceu aberto
MET2023-0102,SBRF,2023-07-01 03:00,23.0,1012.0,12863,17,35,0.1,13,Ceu aberto
MET2023-0103,SBRF,2023-07-01 06:00,22.1,1012.5,12863,17,30,0.1,17,Ceu aberto
MET2023-0104,SBRF,2023-07-01 09:00,23.0,1012.0,12863,17,33,0.1,23,Ceu aberto
MET2023-0105,SBRF,2023-07-01 12:00,24.0,1011.5,12863,17,27,0.1,23,Ceu aberto
MET2023-0101,SBFL,2023-07-01 00:00,11.5,1019.3,6457,21,36,3.3,67,Chuva
MET2023-0102,SBFL,2023-07-01 03:00,10.6,1019.8,6457,21,39,3.3,60,Chuva
MET2023-0103,SBFL,2023-07-01 06:00,9.6,1020.2,6457,21,46,3.3,83,Chuva
MET2023-0104,SBFL,2023-07-01 09:00,10.6,1019.8,6457,21,46,3.3,69,Chuva
MET2023-0105,SBFL,2023-07-01 12:00,11.5,1019.3,6457,21,36,3.3,52,Chuva
MET2023-0101,SBSV,2023-07-01 00:00,23.4,1020.7,10117,17,42,0.9,21,Chuva
MET2023-0102,SBSV,2023-07-01 03:00,22.4,1021.2,10117,17,31,0.9,44,Chuva
MET2023-0103,SBSV,2023-07-01 06:00,21.4,1021.7,10117,17,31,0.9,40,Chuva
MET2023-0104,SBSV,2023-07-01 09:00,22.4,1021.2,10117,17,38,0.9,46,Chuva
MET2023-0105,SBSV,2023-07-01 12:00,23.4,1020.7,10117,17,37,0.9,18,Chuva
MET2023-0101,SBCG,2023-07-01 00:00,19.1,1014.2,9267,20,30,2.2,61,Chuva
MET2023-0102,SBCG,2023-07-01 03:00,18.1,1014.7,9267,20,37,2.2,59,Chuva
MET2023-0103,SBCG,2023-07-01 06:00,17.1,1015.2,9267,20,32,2.2,40,Chuva
MET2023-0104,SBCG,2023-07-01 09:00,18.1,1014.7,9267,20,40,2.2,58,Chuva
MET2023-0105,SBCG,2023-07-01 12:00,19.1,1014.2,9267,20,32,2.2,51,Chuva
MET2023-0201,SBGR,2023-07-02 00:00,16.0,1015.1,8807,13,31,2.5,70,Chuva
MET2023-0202,SBGR,2023-07-02 03:00,15.0,1015.5,8807,13,26,2.5,60,Chuva
MET2023-0203,SBGR,2023-07-02 06:00,14.0,1016.0,8807,13,28,2.5,65,Chuva
MET2023-0204,SBGR,2023-07-02 09:00,15.0,1015.5,8807,13,28,2.5,62,Chuva
MET2023-0205,SBGR,2023-07-02 12:00,16.0,1015.1,8807,13,36,2.5,60,Chuva
MET2023-0201,SBGL,2023-07-02 00:00,20.0,1017.7,9432,21,41,2.2,41,Chuva
MET2023-0202,SBGL,2023-07-02 03:00,19.0,1018.1,9432,21,40,2.2,60,Chuva
MET2023-0203,SBGL,2023-07-02 06:00,18.1,1018.6,9432,21,34,2.2,44,Chuva
MET2023-0204,SBGL,2023-07-02 09:00,19.0,1018.1,9432,21,35,2.2,61,Chuva
MET2023-0205,SBGL,2023-07-02 12:00,20.0,1017.7,9432,21,43,2.2,66,Chuva
MET2023-0201,SBBR,2023-07-02 00:00,22.2,1017.6,11631,8,32,0.2,14,Ceu aberto
MET2023-0202,SBBR,2023-07-02 03:00,21.2,1018.1,11631,8,23,0.2,25,Ceu aberto
MET2023-0203,SBBR,2023-07-02 06:00,20.3,1018.6,11631,8,29,0.2,30,Ceu aberto
MET2023-0204,SBBR,2023-07-02 09:00,21.2,1018.1,11631,8,25,0.2,19,Ceu aberto
MET2023-0205,SBBR,2023-07-02 12:00,22.2,1017.6,11631,8,20,0.2,49,Ceu aberto
MET2023-0201,SBCF,2023-07-02 00:00,16.6,1017.1,9155,14,38,1.7,53,Chuva
MET2023-0202,SBCF,2023-07-02 03:00,15.7,1017.6,9155,14,38,1.7,41,Chuva
MET2023-0203,SBCF,2023-07-02 06:00,14.7,1018.1,9155,14,29,1.7,53,Chuva
