id_voo,codigo_voo,data,horario_previsto,horario_realizado,aeroporto_origem,aeroporto_destino,id_rota,matricula_aeronave,atraso_minutos,status,motivo_atraso,cancelado,desviado

2024-001241,XYZ241241,2024-07-01,00:00,2024-07-01 00:11,SBGR,SBGL,ROT001,PR-SCD,11,Realizado,Meteorologia,0,0
2024-001242,XYZ241242,2024-07-01,00:00,2024-07-01 00:41,SBGR,SBBR,ROT002,PR-TQJ,41,Realizado,Meteorologia,0,0
2024-001243,XYZ241243,2024-07-01,00:00,2024-07-01 00:34,SBGR,SBCF,ROT003,PR-UKM,34,Realizado,Meteorologia,0,0
2024-001244,XYZ241244,2024-07-01,00:00,2024-07-01 00:32,SBGR,SBPA,ROT004,PR-VPN,32,Realizado,Meteorologia,0,0
2024-001245,XYZ241245,2024-07-01,00:00,2024-07-01 00:44,SBGL,SBBR,ROT010,PR-WAR,44,Realizado,Meteorologia,0,0
2024-001246,XYZ241246,2024-07-01,00:00,2024-07-01 00:24,SBGL,SBCF,ROT011,PR-XBE,24,Realizado,Meteorologia,0,0
2024-001247,XYZ241247,2024-07-01,00:00,2024-07-01 00:31,SBGL,SBPA,ROT012,PR-YCF,31,Realizado,Meteorologia,0,0
2024-001248,XYZ241248,2024-07-01,00:00,2024-07-01 00:17,SBGL,SBCT,ROT013,PR-ZDG,17,Realizado,Meteorologia,0,0
2024-001249,XYZ241249,2024-07-01,03:00,2024-07-01 03:21,SBGR,SBGL,ROT001,PR-ADH,21,Realizado,Meteorologia,0,0
2024-001250,XYZ241250,2024-07-01,03:00,2024-07-01 03:47,SBGR,SBBR,ROT002,PR-BKR,47,Realizado,Meteorologia,0,0
2024-001251,XYZ241251,2024-07-01,03:00,2024-07-01 03:12,SBGR,SBCF,ROT003,PR-CEV,12,Realizado,Meteorologia,0,0
2024-001252,XYZ241252,2024-07-01,03:00,2024-07-01 03:36,SBGR,SBPA,ROT004,PR-DQF,36,Realizado,Meteorologia,0,0
2024-001253,XYZ241253,2024-07-01,03:00,2024-07-01 03:37,SBGL,SBBR,ROT010,PR-EHX,37,Realizado,Meteorologia,0,0
2024-001254,XYZ241254,2024-07-01,03:00,2024-07-01 03:39,SBGL,SBCF,ROT011,PR-FKA,39,Realizado,Meteorologia,0,0
2024-001255,XYZ241255,2024-07-01,03:00,2024-07-01 03:18,SBGL,SBPA,ROT012,PR-GMB,18,Realizado,Meteorologia,0,0
2024-001256,XYZ241256,2024-07-01,03:00,,SBGL,SBCT,ROT013,PR-HNC,0,Cancelado,Meteorologia,1,0
2024-001257,XYZ241257,2024-07-01,06:00,2024-07-01 06:14,SBGR,SBGL,ROT001,PR-JRD,14,Realizado,Meteorologia,0,0
2024-001258,XYZ241258,2024-07-01,06:00,2024-07-01 06:40,SBGR,SBBR,ROT002,PR-KSE,40,Realizado,Meteorologia,0,0
2024-001259,XYZ241259,2024-07-01,06:00,2024-07-01 06:32,SBGR,SBCF,ROT003,PR-LTF,32,Realizado,Meteorologia,0,0
